FULL_NAME,TWITTER_ACC,ACCOUNT_TYPE,USER_ID
Sacramento Kings,SacramentoKings,team,667563
Portland Trail Blazers,trailblazers,team,6395222
Memphis Grizzlies,memgrizz,team,7117962
Miami Heat,MiamiHEAT,team,11026952
Washington Wizards,WashWizards,team,14992591
Milwaukee Bucks,Bucks,team,15900167
Philadelphia 76ers,sixers,team,16201775
Chicago Bulls,chicagobulls,team,16212685
Detroit Pistons,DetroitPistons,team,16727749
Atlanta Hawks,ATLHawks,team,17292143
Boston Celtics,celtics,team,18139461
Utah Jazz,utahjazz,team,18360370
San Antonio Spurs,spurs,team,18371803
Phoenix Suns,Suns,team,18481113
Brooklyn Nets,BrooklynNets,team,18552281
Houston Rockets,HoustonRockets,team,19077044
Cleveland Cavaliers,cavs,team,19263978
Indiana Pacers,Pacers,team,19409270
Orlando Magic,OrlandoMagic,team,19537303
Los Angeles Clippers,LAClippers,team,19564719
Timberwolves,Timberwolves,team,20196159
New York Knicks,nyknicks,team,20265254
Los Angeles Lakers,Lakers,team,20346956
Charlotte Hornets,hornets,team,21308488
NBA on TNTVerified account,NBAonTNT,fan,22178780
Dallas Mavericks,dallasmavs,team,22185437
LeBron James,KingJames,player,23083404
New Orleans Pelicans,PelicansNBA,team,24903350
Oklahoma City Thunder,okcthunder,team,24925573
Denver Nuggets,nuggets,team,26074296
Golden State Warriors,warriors,team,26270913
Paul Pierce,paulpierce34,player,27115071
ClutchFans,clutchfans,fan,29007125
Derrick Rose,drose,player,33995409
Kevin Durant,KDTrey5,player,35936474
Russell Westbrook,russwest44,player,35982046
Carmelo Anthony,carmeloanthony,player,42384760
Stephen Curry,StephenCurry30,player,42562446
Gordon Hayward,gordonhayward,player,46704247
James Harden,JHarden13,player,50811932
Paul George,Yg_Trece,player,53643297
Chris Paul,CP3,player,53853197
Toronto Raptors,Raptors,team,73406718
NBA on ESPN,ESPNNBA,fan,74518740
CBS Sports NBA,CBSSportsNBA,fan,158426128
Kyrie Irving,KyrieIrving,player,317370751
Joel Embiid,JoelEmbiid,player,416814339
Jaylen Brown,FCHWPO,player,419181069
Jayson Tatum,jaytatum0,player,448562247
Luka Doncic,luka7doncic,player,460116210
NBA UK Fans,NBA_UKfans,fan,471122783
FanSided NBA,FanSidedNBA,fan,601244317
Dwyane Wade,DwyaneWade,player,612792060
Kobe Bryant,kobebryant,player,1059194370
Klay Thompson,KlayThompson,player,1703636814
Giannis Antetokounmpo,Giannis_An34,player,2279776304
The Step Back,The_Step_Back,fan,2440511442
Cameron Tabatabaie,CTabatabaie,fan,2577730025
Fastbreak Breakfast,fastbreakbreak,fan,2884161942
The Drop NBA,thedropnba,fan,3306074331
