ACCOUNT_ID,TEAM,TWITTER_ACC,TEAM_ID
17292143,Atlanta Hawks,ATLHawks,1610612737
18139461,Boston Celtics,celtics,1610612738
18552281,Brooklyn Nets,BrooklynNets,1610612751
21308488,Charlotte Hornets,hornets,1610612766
16212685,Chicago Bulls,chicagobulls,1610612741
19263978,Cleveland Cavaliers,cavs,1610612739
22185437,Dallas Mavericks,dallasmavs,1610612742
26074296,Denver Nuggets,nuggets,1610612743
16727749,Detroit Pistons,DetroitPistons,1610612765
26270913,Golden State Warriors,warriors,1610612744
19077044,Houston Rockets,HoustonRockets,1610612745
19409270,Indiana Pacers,Pacers,1610612754
19564719,Los Angeles Clippers,LAClippers,1610612746
20346956,Los Angeles Lakers,Lakers,1610612747
7117962,Memphis Grizzlies,memgrizz,1610612763
11026952,Miami Heat,MiamiHEAT,1610612748
15900167,Milwaukee Bucks,Bucks,1610612749
24903350,New Orleans Pelicans,PelicansNBA,1610612750
20265254,New York Knicks,nyknicks,1610612740
24925573,Oklahoma City Thunder,okcthunder,1610612752
19537303,Orlando Magic,OrlandoMagic,1610612760
16201775,Philadelphia 76ers,sixers,1610612753
18481113,Phoenix Suns,Suns,1610612755
6395222,Portland Trail Blazers,trailblazers,1610612756
667563,Sacramento Kings,SacramentoKings,1610612757
18371803,San Antonio Spurs,spurs,1610612758
20196159,Timberwolves,Timberwolves,1610612759
73406718,Toronto Raptors,Raptors,1610612761
18360370,Utah Jazz,utahjazz,1610612762
14992591,Washington Wizards,WashWizards,1610612764
