column_name,data_type,variable_type,data_set_id
id,int64,Independent,1
date,object,Independent,1
price,int64,Dependent,1
bedrooms,int64,Independent,1
bathrooms,float64,Independent,1
sqft_living,int64,Independent,1
sqft_lot,int64,Independent,1
floors,float64,Independent,1
waterfront,int64,Independent,1
view,int64,Independent,1
condition,int64,Independent,1
grade,int64,Independent,1
sqft_above,int64,Independent,1
sqft_basement,int64,Independent,1
yr_built,int64,Independent,1
yr_renovated,int64,Independent,1
zipcode,int64,Independent,1
lat,float64,Independent,1
long,float64,Independent,1
sqft_living15,int64,Independent,1
sqft_lot15,int64,Independent,1
