Columns,Data Type,Variable type
id,int64,Independent
date,object,Independent
price,int64,Dependent
bedrooms,int64,Independent
bathrooms,float64,Independent
sqft_living,int64,Independent
sqft_lot,int64,Independent
floors,float64,Independent
waterfront,int64,Independent
view,int64,Independent
condition,int64,Independent
grade,int64,Independent
sqft_above,int64,Independent
sqft_basement,int64,Independent
yr_built,int64,Independent
yr_renovated,int64,Independent
zipcode,int64,Independent
lat,float64,Independent
long,float64,Independent
sqft_living15,int64,Independent
sqft_lot15,int64,Independent
